location,year_week,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations
China,2020-12-14/2020-12-20,766.0,14.0,95716.0,4770.0,,,1500000.0
China,2020-12-21/2020-12-27,608.0,7.0,96324.0,4777.0,,,
China,2020-12-28/2021-01-03,648.0,14.0,96972.0,4791.0,,,4500000.0
China,2021-01-04/2021-01-10,680.0,7.0,97652.0,4798.0,,,9000000.0
China,2021-01-11/2021-01-17,1142.0,6.0,98794.0,4804.0,,,10000000.0
China,2021-01-18/2021-01-24,1342.0,6.0,100136.0,4810.0,,,15000000.0
China,2021-01-25/2021-01-31,838.0,13.0,100974.0,4823.0,,,24000000.0
China,2021-02-01/2021-02-07,342.0,8.0,101316.0,4831.0,,,31236000.0
China,2021-02-08/2021-02-14,220.0,7.0,101536.0,4838.0,,,40520000.0
China,2021-02-15/2021-02-21,164.0,4.0,101700.0,4842.0,,,
China,2021-02-22/2021-02-28,220.0,1.0,101920.0,4843.0,,,52520000.0
China,2021-03-01/2021-03-07,181.0,5.0,102101.0,4848.0,,,
China,2021-03-08/2021-03-14,262.0,1.0,102363.0,4849.0,,,64980000.0
China,2021-03-15/2021-03-21,176.0,0.0,102539.0,4849.0,,,74956000.0
China,2021-03-22/2021-03-28,159.0,2.0,102698.0,4851.0,,,106613000.0
China,2021-03-29/2021-04-04,210.0,0.0,102908.0,4851.0,,,139970000.0
China,2021-04-05/2021-04-11,205.0,2.0,103113.0,4853.0,,,167343000.0
China,2021-04-12/2021-04-18,202.0,3.0,103315.0,4856.0,,,192127000.0
China,2021-04-19/2021-04-25,169.0,0.0,103484.0,4856.0,,,224901000.0
China,2021-04-26/2021-05-02,183.0,2.0,103667.0,4858.0,,,275338000.0
China,2021-05-03/2021-05-09,141.0,0.0,103808.0,4858.0,,,324307000.0
China,2021-05-10/2021-05-16,617.0,0.0,104425.0,4858.0,,,406938000.0
China,2021-05-17/2021-05-23,2762.0,11.0,107187.0,4869.0,,,510858000.0
China,2021-05-24/2021-05-30,3959.0,86.0,111146.0,4955.0,,,639172000.0
China,2021-05-31/2021-06-06,3521.0,151.0,114667.0,5106.0,,,777879000.0
China,2021-06-07/2021-06-13,1634.0,177.0,116301.0,5283.0,622000000.0,,892770000.0
China,2021-06-14/2021-06-20,1247.0,112.0,117548.0,5395.0,,,1029223000.0
