location,year_week,new_cases,positivity_rate,people_vaccinated,cases_norm,positivity_z,vacc_norm,risk_score,risk_level
Russia,2020-02-10/2020-02-16,0.0,,,-0.004095021003377306,,,-0.002047510501688653,Low
Russia,2020-02-17/2020-02-23,0.0,,,-0.004095021003377306,,,-0.002047510501688653,Low
Russia,2020-02-24/2020-03-01,0.0,,,-0.004095021003377306,,,-0.002047510501688653,Low
Russia,2020-03-02/2020-03-08,5.0,,,-0.004077672159946628,,,-0.002038836079973314,Low
Russia,2020-03-09/2020-03-15,27.0,0.0008199999999999,,-0.004001337248851644,-1.0791343386571752,,-0.37969768715443714,Low
Russia,2020-03-16/2020-03-22,272.0,0.0030857142857142,,-0.0031512439207484074,-1.0315340792656906,,-0.36261254970336587,Low
Russia,2020-03-23/2020-03-29,1228.0,0.0073571428571428,,0.00016585494319728113,-0.9417958853309247,,-0.32954563239422496,Low
Russia,2020-03-30/2020-04-05,3197.0,0.0078857142857142,,0.006997829486198391,-0.9306911589911718,,-0.3222429909038109,Low
Russia,2020-04-06/2020-04-12,11039.0,0.0132857142857142,,0.03420775552287422,-0.8172428736823381,,-0.26893112802738117,Low
Russia,2020-04-13/2020-04-19,27083.0,0.0286571428571428,,0.08987672432323471,-0.49430542661274723,,-0.12806853715284416,Low
Russia,2020-04-20/2020-04-26,38096.0,0.0412714285714285,,0.1280892868636467,-0.2292926331532233,,-0.0162077781718048,Low
Russia,2020-04-27/2020-05-03,53738.0,0.0391142857142857,,0.18236340865218065,-0.27461192172897314,,-0.004932468279050264,Low
Russia,2020-05-04/2020-05-10,75001.0,0.0523428571428571,,0.25614110022548314,0.003306364503777661,,0.12922777768906374,Low
Russia,2020-05-11/2020-05-17,72064.0,0.0530428571428571,,0.24595038959430274,0.018012623710478314,,0.12927961309581879,Low
Russia,2020-05-18/2020-05-24,62729.0,0.0389857142857142,,0.21356009890922634,-0.277313071379185,,0.00972047447189843,Low
Russia,2020-05-25/2020-05-31,61362.0,0.0326857142857142,,0.2088169251152789,-0.40966940423949094,,-0.03897582892618236,Low
Russia,2020-06-01/2020-06-07,61830.0,0.0299142857142857,,0.2104407768603904,-0.4678941855884676,,-0.058542576525768455,Low
Russia,2020-06-08/2020-06-14,61291.0,0.0285999999999999,,0.2085705715385633,-0.49550593756839717,,-0.06914179237965737,Low
Russia,2020-06-15/2020-06-21,55716.0,0.0275428571428571,,0.18922661111335698,-0.5177153902479031,,-0.08658708103008761,Low
Russia,2020-06-22/2020-06-28,49757.0,0.0251571428571428,,0.1685502595126746,-0.5678367226462505,,-0.11446772316985038,Low
Russia,2020-06-29/2020-07-05,46814.0,0.0233142857142857,,0.15833873026937736,-0.606553200965931,,-0.13312425520338717,Low
Russia,2020-07-06/2020-07-12,45911.0,0.0236428571428571,,0.15520552914579686,-0.5996502629709497,,-0.13227482746693398,Low
