location,year_week,daily_vaccinations,daily_vaccinations_raw,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
India,2022-12-12/2022-12-18,308168.0,327705.0,28440.0,0.0,31.0,2200010800.0,1027117507.0,951006502.0,221886791.0,155.24,72.48,67.11,15.66
India,2022-12-19/2022-12-25,371034.0,484528.0,31259.0,0.0,37.42857142857143,2200495328.0,1027154597.0,951119216.0,222221515.0,155.27,72.48,67.11,15.68
India,2022-12-26/2023-01-01,577013.0,549351.0,47910.0,0.0005714285714285715,58.0,2201044679.0,1027204886.0,951216009.0,222623784.0,155.31,72.48,67.12,15.71
India,2023-01-02/2023-01-08,404527.0,325528.0,33926.0,0.0,40.714285714285715,2201370207.0,1027228167.0,951274467.0,222867573.0,155.34,72.48,67.12,15.73
India,2023-01-09/2023-01-15,334178.0,305127.0,23335.0,0.0,33.714285714285715,2201675334.0,1027248959.0,951336433.0,223089942.0,155.36,72.49,67.13,15.74
India,2023-01-16/2023-01-22,561111.0,1109965.0,21315.0,0.0,56.57142857142857,2202785299.0,1027277706.0,951457282.0,224050311.0,155.44,72.49,67.14,15.81
India,2023-01-23/2023-01-29,1350633.0,1281084.0,33862.0,0.0,136.0,2204066383.0,1027310660.0,951613583.0,225142140.0,155.53,72.49,67.15,15.89
India,2023-01-30/2023-02-05,1773495.0,1665662.0,39095.0,0.0,178.71428571428572,2205732045.0,1027346076.0,951782313.0,226603656.0,155.64,72.49,67.16,15.99
India,2023-02-06/2023-02-12,868022.0,537458.0,21164.0,0.0,87.57142857142857,2206269503.0,1027361364.0,951848120.0,227060019.0,155.68,72.49,67.17,16.02
India,2023-02-13/2023-02-19,195121.0,42193.0,8552.0,0.0,19.571428571428573,2206311696.0,1027366642.0,951863387.0,227081667.0,155.68,72.49,67.17,16.02
India,2023-02-20/2023-02-26,41443.0,41735.0,5667.0,0.0,4.0,2206353431.0,1027372714.0,951879089.0,227101628.0,155.69,72.49,67.17,16.02
India,2023-02-27/2023-03-05,40900.0,41588.0,5751.0,0.0,4.0,2206395019.0,1027378348.0,951894056.0,227122615.0,155.69,72.49,67.17,16.03
India,2023-03-06/2023-03-12,35485.0,32291.0,4442.0,0.0,3.4285714285714284,2206427310.0,1027381923.0,951905632.0,227139755.0,155.69,72.5,67.17,16.03
India,2023-03-13/2023-03-19,43078.0,35479.0,4730.0,0.0,4.428571428571429,2206477662.0,1027387690.0,951924045.0,227165927.0,155.7,72.5,67.17,16.03
India,2023-03-20/2023-03-26,48635.0,47791.0,5739.0,0.0,5.0,2206525453.0,1027393464.0,951941166.0,227190823.0,155.7,72.5,67.17,16.03
India,2023-03-27/2023-04-02,58404.0,59014.0,6497.0,0.0,5.714285714285714,2206584467.0,1027400039.0,951961044.0,227223384.0,155.7,72.5,67.17,16.03
India,2023-04-03/2023-04-09,30328.0,10867.0,3794.0,0.0,3.142857142857143,2206595334.0,1027401427.0,951964106.0,227229801.0,155.7,72.5,67.17,16.03
India,2023-04-10/2023-04-16,6215.0,2801.0,1115.0,0.0,0.5714285714285714,2206598920.0,1027402534.0,951965122.0,227231264.0,155.7,72.5,67.17,16.03
India,2023-04-17/2023-04-23,6709.0,13228.0,955.0,0.0,0.42857142857142855,2206612148.0,1027403517.0,951966556.0,227242075.0,155.71,72.5,67.17,16.03
India,2023-04-24/2023-04-30,23066.0,26704.0,1106.0,0.0,2.4285714285714284,2206638852.0,1027404628.0,951968069.0,227266155.0,155.71,72.5,67.17,16.04
